"2026-03-31 01:00:13",noir,isole,normal,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-03-31 01:17:22",liquide,isole,paralysie,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-04-01 17:55:57",vert,normal,yeux_larmoyants,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-04-06 23:26:26",normal,boit_plus,normal,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-04-06 23:26:57",normal,boit_plus,normal,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-04-07 03:01:29",vert,boit_plus,paralysie,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-04-07 03:08:03",blanc,normal,crete_pale,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-04-08 11:56:26",normal,normal,normal,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-05-04 12:45:24",blanc,normal,normal,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-05-08 00:12:23",blanc,normal,crete_pale,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-05-08 00:22:02",blanc,normal,crete_pale," Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Comportement normal, actif. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-08 00:22:23",jaune,boit_plus,crete_pale," Alerte sanitaire - Intervention nécessaire","Excréments jaunes mousseux → infection parasitaire (coccidiose) ou hépatite. Consommation excessive d'eau → signe de fièvre, diabète ou insuffisance rénale. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Traitez avec un anticoccidien (Amprolium) pendant 5 jours. Maintenez la litière sèche. Contrôlez la température. Ajoutez des vitamines. Consultez si persistant. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-08 00:31:50",jaune,boit_plus,crete_pale," Alerte sanitaire - Intervention nécessaire","Excréments jaunes mousseux → infection parasitaire (coccidiose) ou hépatite. Consommation excessive d'eau → signe de fièvre, diabète ou insuffisance rénale. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Traitez avec un anticoccidien (Amprolium) pendant 5 jours. Maintenez la litière sèche. Contrôlez la température. Ajoutez des vitamines. Consultez si persistant. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-08 00:32:13",jaune,boit_plus,crete_pale," Alerte sanitaire - Intervention nécessaire","Excréments jaunes mousseux → infection parasitaire (coccidiose) ou hépatite. Consommation excessive d'eau → signe de fièvre, diabète ou insuffisance rénale. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Traitez avec un anticoccidien (Amprolium) pendant 5 jours. Maintenez la litière sèche. Contrôlez la température. Ajoutez des vitamines. Consultez si persistant. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-08 00:35:12",jaune,boit_plus,crete_pale," Alerte sanitaire - Intervention nécessaire","Excréments jaunes mousseux → infection parasitaire (coccidiose) ou hépatite. Consommation excessive d'eau → signe de fièvre, diabète ou insuffisance rénale. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Traitez avec un anticoccidien (Amprolium) pendant 5 jours. Maintenez la litière sèche. Contrôlez la température. Ajoutez des vitamines. Consultez si persistant. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-08 00:35:40",jaune,boit_plus,crete_pale," Alerte sanitaire - Intervention nécessaire","Excréments jaunes mousseux → infection parasitaire (coccidiose) ou hépatite. Consommation excessive d'eau → signe de fièvre, diabète ou insuffisance rénale. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Traitez avec un anticoccidien (Amprolium) pendant 5 jours. Maintenez la litière sèche. Contrôlez la température. Ajoutez des vitamines. Consultez si persistant. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-08 00:36:46",jaune,boit_plus,crete_pale,"Alerte sanitaire - Intervention nécessaire","Excréments jaunes mousseux → infection parasitaire (coccidiose) ou hépatite. Consommation excessive d'eau → signe de fièvre, diabète ou insuffisance rénale. Crête pâle ou violacée → anémie, insuffisance cardiaque ou infection grave.","Traitez avec un anticoccidien (Amprolium) pendant 5 jours. Maintenez la litière sèche. Contrôlez la température. Ajoutez des vitamines. Consultez si persistant. Contrôle vétérinaire rapide. Vérifiez la présence de parasites (poux, tiques)."
"2026-05-12 12:01:00",blanc,normal,normal," Anomalies légères à surveiller","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Comportement normal, actif. Apparence normale.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler."
"2026-05-24 23:40:05",normal,normal,plumes_herissees," Anomalies légères à surveiller","Excréments normaux. Comportement normal, actif. Plumes hérissées → frilosité ou maladie (fièvre).","Augmentez la température si nécessaire. Surveillez l'état général."
"2026-06-08 12:06:11",vert,apathique,normal," Alerte sanitaire - Intervention nécessaire","Excréments verts → souvent liés à un jeûne ou à une maladie virale (Newcastle). Apathie, abattement → signe de maladie générale (fièvre, infection). Apparence normale.","URGENCE : isolement, vaccination si possible, contact vétérinaire immédiat. Placez les sujets faibles à part. Vérifiez la température ambiante. Consultez si persistance."
"2026-06-08 12:09:35",vert,apathique,normal," Alerte sanitaire - Intervention nécessaire","Excréments verts → souvent liés à un jeûne ou à une maladie virale (Newcastle). Apathie, abattement → signe de maladie générale (fièvre, infection). Apparence normale.","URGENCE : isolement, vaccination si possible, contact vétérinaire immédiat. Placez les sujets faibles à part. Vérifiez la température ambiante. Consultez si persistance."
"2026-06-08 12:16:45",blanc,isole,respiration_bruyante," Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) → atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
